user_id,seed_type,degree_in_subset,sent_events
1997276822110208510,pattern02,0,3
2009888079216640857,pattern02,0,4
2021954672394240098,pattern02,0,3
2036728663638016456,pattern02,1,4
2281396492042240104,pattern02,0,3
1992131828776960256,pattern02,0,3
2047620667146240210,pattern02,0,7
1835291987935232594,pattern02,0,3
1906769748033536424,pattern02,0,3
2066063575482368533,pattern02,1,3
1788250519764992128,pattern02,0,4
1768922017693696417,pattern02,0,3
1838094361821184499,pattern02,0,4
1792966729400320935,pattern02,0,4
1605270333554688188,pattern02,0,4
2092639197331456238,pattern02,0,3
1587543896227840342,pattern02,0,4
2532199152746496792,pattern02,0,9
2001217043562496189,pattern02,1,4
1785021719379968004,pattern02,0,3
2081709696745472331,pattern02,0,3
2518505245114368959,pattern02,0,4
2273007800156160187,pattern02,0,4
1664930491138048096,pattern02,0,3
2270738547474432138,pattern02,0,3
1921390320025600482,pattern02,0,6
2230754784313344934,pattern02,1,4
1893233764335616939,pattern02,0,3
2454853829787648137,pattern02,0,4
2191123560792064138,pattern02,0,5
1485701606539264416,pattern02,0,3
2255520027115520156,pattern02,0,8
1263996124528640346,neighbor,1,5
1506660963057664905,neighbor,1,5
2477220224303104541,neighbor,5,8
2475623679262720603,neighbor,4,7
2474543780200448211,neighbor,4,11
2558926054752256924,neighbor,1,4
2556445417537536432,neighbor,2,5
2521023706562560035,neighbor,3,5
2441857736900608975,neighbor,2,6
2025239416406016226,neighbor,1,4
2023029496348672961,neighbor,1,3
2262972407742464802,neighbor,1,4
2227403334090752020,neighbor,1,5
2196526101168128113,neighbor,1,28
1793724791128064030,neighbor,1,3
2308536725929984456,neighbor,1,3
2134619952513024340,neighbor,1,3
1966946769698816180,neighbor,1,4
1780162140045312487,neighbor,1,5
1748158057021440601,neighbor,3,4
2042074337640448493,neighbor,1,5
1817710564474880773,neighbor,1,11
1919176029503488314,neighbor,1,3
2012566385590272918,neighbor,2,5
1258678225207296308,neighbor,1,7
2069146799964160140,neighbor,1,3
2093940673085440818,neighbor,1,5
1471222139322368664,neighbor,1,5
2034377370370048161,neighbor,1,3
2273393936171008216,neighbor,1,6
1776598902636544607,neighbor,1,6
1524604422062080654,neighbor,1,6
2033929410314240919,neighbor,1,4
1752642799796224538,neighbor,1,3
1937246542364672055,neighbor,1,5
2317527669538816948,neighbor,1,4
2014584357519360575,neighbor,1,4
2039033249136640210,neighbor,1,11
2261471274729472419,neighbor,1,4
2103343346352128931,neighbor,1,10
2251176020017152652,neighbor,1,9
2172066421800960718,neighbor,1,3
1970563702587392865,neighbor,1,3
1786609011785728507,neighbor,1,3
1679111424573440179,neighbor,2,3
1663988140081152497,neighbor,1,4
1667029891284992377,neighbor,1,7
1794509956448256270,neighbor,1,4
1866408010973184983,neighbor,1,4
1658309488672768110,neighbor,1,3
1660309819359232190,neighbor,1,3
1678550646128640546,neighbor,1,3
2056011884003328439,neighbor,1,4
2193793436614656899,neighbor,2,3
1611375923167232875,neighbor,1,9
2050971102347265016,neighbor,2,4
1758504079589376196,neighbor,2,3
1846678919315456109,neighbor,2,4
1773529653575680983,neighbor,1,3
1838824858583040683,neighbor,1,13
1806910340726784278,neighbor,1,3
2309710636122112725,neighbor,3,5
2469878934011904289,neighbor,2,6
2354159328165888057,neighbor,1,8
2165707840159744272,neighbor,1,8
1232826833829888794,neighbor,1,3
2581015264493568139,neighbor,1,4
2231635722371072722,neighbor,2,5
2210697488367616397,neighbor,1,6
2305282340290560210,neighbor,1,5
1680062264901632630,neighbor,1,6
2400621118357504739,neighbor,1,3
1986504960245760844,neighbor,1,3
2061180549988352860,neighbor,1,3
1871235537436672816,neighbor,1,4
1636582683574272067,neighbor,1,12
1835624336195584366,neighbor,1,3
1667840524419072028,neighbor,3,26
1969138402590720915,neighbor,3,4
1921329225793536174,neighbor,2,3
2137764430610432906,neighbor,1,4
2071339397545984992,neighbor,2,6
2115433301803008783,neighbor,1,3
2199073939521536726,neighbor,1,6
2544534986686464359,neighbor,1,3
2040388210655232745,neighbor,3,9
