sender_id,receiver_id,weight
2012609687584768848,1864836732420096233,1
2013514977771520669,1651740898230272702,2
2014584357519360575,2232700186394624543,1
2015744694943744017,2033915049017344523,3
2016038807928832315,2408979644809216432,2
2016038807928832315,2431323180367872727,3
2016038807928832315,2516498044157952979,5
2016038807928832315,2516510895505408333,4
2016038807928832315,2517054938677248582,5
2016038807928832315,2517066447847424163,3
2016914670878720740,1980587124457472203,1
2018398984732672601,1980587124457472203,2
2018702870446080842,1919258640515072436,2
2019074670329856753,1775020342771712881,1
2019260595437568296,2037075037650944536,1
2019969306984449018,2061131644403712920,1
2019969306984449018,2221837685620736366,1
2021366932963328676,2395468382339072044,1
2022293597323264518,1825523688800256206,1
2023395457761280460,2023396321787904468,1
2024076033916928101,1635078824263680414,1
2024076033916928101,2007895516381184457,1
2024323707568128236,2038837568077824443,1
2024851107741696707,1641632055164928984,6
2024851107741696707,2502044732620800523,1
2024851107741696707,2530107721777152330,1
2025191551008768448,1385722896449536025,2
2025191551008768448,2241768196145152039,1
2025795505618944117,2225104780001280032,2
2027008674496512146,2270599212695552570,1
2028423673282560983,2125862119931904074,1
2028643387703296112,2024323707568128236,1
2028643387703296112,2053169303519232462,2
2028662933159936911,2281407464341504206,1
2028695581622272630,1995371291082752807,2
2033890596225024161,2028643387703296112,1
2033890596225024161,2038837568077824443,1
2033915049017344523,2015744694943744017,1
2033915049017344523,2157555153371136243,1
2034212710383616823,2038837568077824443,1
2034377370370048161,1771127760224256441,1
2034973297082368473,1920729742311424041,1
2036728663638016456,1719099071660032671,1
2039033249136640210,2043864617582592090,2
2039425869545472141,2018573476167680230,3
2039725267353600466,2310704912662528177,1
2039979987435520217,2272701657907200663,1
2040037650726912083,2161306295599104826,1
2040388210655232745,1978108869607424308,1
2040388210655232745,2043129104433152836,3
2040388210655232745,2044099708321792476,2
2040940600492032974,2007492628316160898,1
2041614885191680624,2050971102347265016,1
2041614885191680624,2193793436614656899,1
2042074337640448493,1747383729782784854,1
2042338855616512558,1642182414958592985,1
2042939094073344193,1890845032710144189,1
2042939094073344193,2052065790525440478,1
2043129104433152836,1978108869607424308,1
2043129104433152836,2040388210655232745,2
2043129104433152836,2044099708321792476,1
2043864617582592090,2039033249136640210,1
2044099708321792476,1978108869607424308,1
2044748055445504056,2297559208951808755,1
2045421367066625005,2047488739508224906,1
2045421367066625005,2375836523036672572,1
2046084268425216035,1937246542364672055,1
2046231815651328575,2255551190794240765,1
2047445940830208082,2038837568077824443,1
2047488739508224906,2045421367066625005,1
2048123832631296544,1986504960245760844,1
2048123832631296544,2400621118357504739,2
2050302110859264231,1996666156613632386,1
2050302110859264231,2170512625106944089,1
2051297746354176701,1533737149923328190,3
2051297746354176701,1616429547782144224,1
2053169303519232462,2038837568077824443,1
2057395215794176762,1441345751220224036,1
2057395215794176762,1719099071660032671,1
2057643812192256062,2230754784313344934,1
2059003152564224267,2070830611693568271,1
2059003152564224267,2076922955694080585,1
2061690778681344629,1773529653575680983,1
2061690778681344629,1806910340726784278,1
2061690778681344629,1838824858583040683,1
2062240341557248420,2289771292393472987,1
2063540055703552520,1945168634707968788,1
2063540055703552520,1975783723630592249,1
2066063575482368533,1679111424573440179,2
