user_id,reappeared,w1_events,w1_partners,w1_max_tie,w1_recip_frac,tenure_days,peer_w1_events,peer_w3_frac
1667008164790272944,0,3,0,0,0.0,26,0,0.0
2295258247331840017,0,3,2,2,0.0,26,1,0.0
2132036831674369012,0,3,1,3,0.0,33,0,0.0
1782165096366080377,0,3,3,1,0.0,23,2,0.3333333333333333
1495155123159040791,0,3,3,2,0.3333333333333333,13,6,0.0
2059844328620032986,0,3,3,1,0.0,30,5,0.0
1987854183956480417,0,3,2,1,0.0,32,0,0.0
1972700364931073013,0,3,3,1,0.0,25,0,0.0
1692427987451904861,0,4,1,1,0.0,23,6,0.0
1530543875293184608,0,3,2,2,0.0,30,3,0.0
2095415373594624858,0,3,3,1,0.0,21,0,0.0
2311903728631808552,0,4,3,2,0.0,16,1,0.0
2464888534335488575,0,3,1,3,0.0,33,0,0.0
2452466943655936297,0,3,2,3,0.5,27,2,0.0
2256380555689984403,0,3,3,1,0.0,30,7,0.0
2418681942376448217,0,3,3,2,0.3333333333333333,32,4,0.0
2058997523808256317,0,3,2,2,0.0,13,0,0.0
2428638532206592971,0,3,1,1,0.0,25,1,0.0
2029148079915008298,0,3,2,2,0.0,28,1,0.0
1745040414081024637,1,4,9,2,0.1111111111111111,31,11,0.1111111111111111
2347270494224384262,0,4,5,1,0.0,26,5,0.2
2116411598045184341,0,4,1,4,0.0,32,0,0.0
1840975311798272234,0,3,3,2,0.0,6,6,0.0
1902335747948544384,0,3,7,5,0.14285714285714285,24,11,0.0
2500520967143424765,0,3,1,3,0.0,27,0,0.0
1469823263440896211,0,3,3,2,0.3333333333333333,7,1,0.3333333333333333
1664871376617472434,0,3,1,2,0.0,30,0,0.0
2035812342431744239,0,3,3,2,0.3333333333333333,33,1,0.0
1948020224557056434,0,6,0,0,0.0,30,0,0.0
2175018314235904590,0,3,1,3,0.0,27,1,0.0
1454612762591232743,0,3,4,1,0.0,22,4,0.0
1782883438034944701,0,3,3,1,0.0,30,1,0.0
1977666068545536836,0,3,2,3,0.5,28,1,0.0
2184320038993920658,0,3,3,1,0.0,26,0,0.0
2005378816540672983,0,3,3,1,0.0,28,1,0.0
2359110066503680683,0,3,2,1,0.0,8,2,0.0
2221950931828736275,0,3,1,3,0.0,22,1,0.0
1989958013288448671,0,3,2,1,0.0,32,4,0.0
2260670624038912396,0,5,6,2,0.16666666666666666,30,6,0.0
1737082611433472631,0,3,2,1,0.0,27,3,0.0
1574374360481792991,0,3,3,1,0.0,31,3,0.0
2034468067999744246,0,3,1,3,0.0,26,1,0.0
2366441785393152840,0,3,2,3,0.5,21,1,0.0
1670613051637760065,0,3,3,1,0.0,23,0,0.0
1842429284057088096,0,3,2,2,0.5,6,1,0.0
2435316401045504316,0,3,2,2,0.5,26,2,0.0
1921839697756160874,0,3,3,1,0.0,20,3,0.0
1750051944660992743,0,3,2,2,0.0,27,0,0.0
1562672998907904503,0,3,2,2,0.0,29,1,0.0
1899198433722368125,0,3,2,2,0.0,29,1,0.0
1641670332383232495,0,3,4,2,0.25,26,4,0.0
2091978929995776990,0,3,5,2,0.0,14,4,0.0
1592422685474816836,0,5,4,2,0.25,29,3,0.0
2016153513754624283,0,4,2,4,0.5,32,4,0.0
2184450943221760977,0,4,4,1,0.0,19,0,0.0
1475685021384704431,0,5,7,1,0.0,24,12,0.0
1270352063758336065,0,5,5,1,0.0,29,11,0.0
2374869375254528770,0,4,4,2,0.0,33,7,0.0
1667720827371520509,0,3,3,1,0.0,25,1,0.0
2415027864731648550,0,7,2,10,0.5,20,16,0.0
1843764884668416866,0,4,0,0,0.0,13,0,0.0
2509332545536000830,0,4,2,1,0.0,30,0,0.0
2263325459087360194,0,4,3,1,0.0,33,0,0.0
2444662392487936968,0,3,2,3,0.5,25,1,0.0
1964605450485760333,0,3,2,2,0.0,33,8,0.0
1986487788765184339,0,3,3,1,0.0,26,0,0.0
2327409147772928701,0,3,3,1,0.0,32,2,0.0
2003019403100160793,0,8,4,5,0.75,29,27,0.0
1756110709063680695,0,4,2,1,0.0,25,3,0.0
1970858671210496023,0,3,3,2,0.3333333333333333,32,5,0.0
