user_id,seed_type,degree_in_subset,sent_events,window_pattern,label,date_joined,username,account_age_days_at_start
1906792455995392219,pattern02,3,5,02,reappeared_skipW2,2016-03-15T20:56:14,Eqyptian,862.0
1794449055154176557,pattern02,2,6,02,reappeared_skipW2,2015-10-12T20:49:57,Kellysongg_,1017.0
1932188748611584570,pattern02,1,3,02,reappeared_skipW2,2016-04-19T21:54:08,Steven-Juzwiak,827.0
2286722477981696694,pattern02,1,3,02,reappeared_skipW2,2017-08-22T01:49:22,angezhao,337.0
2126406255378432930,pattern02,1,3,02,reappeared_skipW2,2017-01-12T21:09:39,JohnnyChen_,559.0
1781613696385024725,pattern02,2,3,02,reappeared_skipW2,2015-09-25T03:48:23,Berkley-Powell,1034.0
1778657173438464753,pattern02,2,3,02,reappeared_skipW2,2015-09-21T01:54:18,Jillian-Regiec,1038.0
2205620551811072649,pattern02,2,3,02,reappeared_skipW2,2017-05-02T04:14:19,Rachel-Willy,449.0
2145555283181568693,pattern02,2,3,02,reappeared_skipW2,2017-02-08T07:15:21,Sammi-Miller,532.0
1923502345027584860,pattern02,3,5,02,reappeared_skipW2,2016-04-07T22:15:48,Seamus-Ward,839.0
1995371291082752807,pattern02,5,3,02,reappeared_skipW2,2016-07-16T02:06:34,Kyle-Thompson-50,739.0
1822203754577920203,pattern02,2,3,02,reappeared_skipW2,2015-11-20T03:53:35,Gia-Diaz,978.0
2133737059909632332,pattern02,9,14,02,reappeared_skipW2,2017-01-22T23:54:39,Pin-Keereerat,549.0
1769197851901952748,pattern02,1,3,02,reappeared_skipW2,2015-09-08T00:40:19,the_jasian,1051.0
2286777431752704855,pattern02,1,4,02,reappeared_skipW2,2017-08-22T03:38:33,Reannon-Rieber,337.0
2207474392236032304,pattern02,2,4,02,reappeared_skipW2,2017-05-04T17:37:34,derrekle,447.0
1899479284318208583,pattern02,1,3,02,reappeared_skipW2,2016-03-05T18:46:16,Paulinearrieta,872.0
2082359327326208782,pattern02,1,3,02,reappeared_skipW2,2016-11-13T02:36:16,Cindy-Defreitas,619.0
2025191551008768448,pattern02,2,3,02,reappeared_skipW2,2016-08-26T05:34:06,Ray-Woodall,698.0
2291815269007360216,pattern02,1,3,02,reappeared_skipW2,2017-08-29T02:27:50,Nhanmluu,330.0
2146896478994432976,pattern02,3,5,02,reappeared_skipW2,2017-02-10T03:40:04,Anthony-Manolelis,530.0
1704774709805056656,pattern02,1,4,02,reappeared_skipW2,2015-06-11T03:23:02,Justin-Sornberger,1140.0
2303520791330816688,pattern02,5,3,02,reappeared_skipW2,2017-09-14T06:04:37,CameronLewisUW,314.0
2512767227527168032,pattern02,1,3,02,reappeared_skipW2,2018-06-29T22:59:56,Gabby-Lee-10,26.0
2046231815651328575,pattern02,2,4,02,reappeared_skipW2,2016-09-24T06:17:21,samj1329,669.0
2033915049017344523,pattern02,3,4,02,reappeared_skipW2,2016-09-07T06:26:08,Morgan-Burroughs-1,686.0
1758319563767808659,pattern02,2,4,02,reappeared_skipW2,2015-08-24T00:27:06,Ana-Rabogliatti,1066.0
1950553768722432624,pattern02,3,3,02,reappeared_skipW2,2016-05-15T06:02:09,Ben-Rugh,801.0
2105459741818880469,pattern02,2,5,02,reappeared_skipW2,2016-12-14T23:32:40,Billy-Phannavong,588.0
2290865594695680166,pattern02,3,3,02,reappeared_skipW2,2017-08-27T19:01:00,JustinLego,332.0
2045421367066625005,pattern02,3,4,02,reappeared_skipW2,2016-09-23T03:27:08,Ryan-Wenslau,670.0
1537372873293824197,pattern02,2,3,02,reappeared_skipW2,2014-10-23T04:05:28,esther-khoudari,1371.0
1785861158993920652,pattern02,3,3,02,reappeared_skipW2,2015-10-01T00:27:20,androohaha,1028.0
1568212533641216384,pattern02,0,3,02,reappeared_skipW2,2014-12-04T17:18:22,Adam-Wright-18,1329.0
1697989181571072486,pattern02,0,3,02,reappeared_skipW2,2015-06-01T18:41:24,EmmaBartone,1150.0
2480278274572288467,pattern02,0,4,02,reappeared_skipW2,2018-05-16T03:10:11,Daisy-Haas-1,70.0
2263530443112448400,pattern02,0,4,02,reappeared_skipW2,2017-07-21T01:50:56,Gerson-Bello,369.0
2298867320094720445,pattern02,0,4,02,reappeared_skipW2,2017-09-07T19:59:00,AlexJin_,321.0
2295280946905088712,pattern02,0,3,02,reappeared_skipW2,2017-09-02T21:13:31,Mignon-Huckabay,326.0
1811049447686144813,pattern02,0,3,02,reappeared_skipW2,2015-11-04T18:31:58,BradyRochon,994.0
1959024627023872543,pattern02,0,4,02,reappeared_skipW2,2016-05-26T22:32:14,Taylorginsberg,790.0
2288958511775744125,pattern02,0,4,02,reappeared_skipW2,2017-08-25T03:51:58,Brent-Halles,334.0
1988729082216448446,pattern02,0,3,02,reappeared_skipW2,2016-07-06T22:09:41,Sacha-Sarkissian,749.0
1781607664975872845,pattern02,0,3,02,reappeared_skipW2,2015-09-25T03:36:24,laysinhi,1034.0
